step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
57400,0.02189,0.00012,0.03324,0.00018,0.01728,0.01162,0.00672,999999.0
57600,0.02293,0.00013,0.03263,0.00018,0.01784,0.01257,0.00704,999999.0
57800,0.02518,0.00014,0.0326,0.00018,0.02005,0.01347,0.0071,999999.0
58000,0.02883,0.00016,0.03257,0.00018,0.02232,0.01571,0.00927,999999.0
58200,0.02051,0.00011,0.03208,0.00018,0.01663,0.01044,0.00594,999999.0
58400,0.02604,0.00014,0.03274,0.00018,0.02042,0.01369,0.00858,999999.0
58600,0.02463,0.00014,0.03253,0.00018,0.0192,0.01331,0.00779,999999.0
58800,0.02996,0.00017,0.03255,0.00018,0.02377,0.01577,0.00918,999999.0
59000,0.0215,0.00012,0.03206,0.00018,0.01699,0.01127,0.00684,999999.0
59200,0.02869,0.00016,0.03279,0.00018,0.02282,0.01424,0.00998,999999.0
59400,0.02239,0.00012,0.03273,0.00018,0.01744,0.01212,0.00711,999999.0
59600,0.02217,0.00012,0.03344,0.00018,0.01752,0.01184,0.00664,999999.0
59800,0.02783,0.00015,0.03322,0.00018,0.02171,0.01536,0.00821,999999.0
60000,0.02584,0.00014,0.03249,0.00018,0.02019,0.01392,0.00814,999999.0
60200,0.02331,0.00013,0.03286,0.00018,0.01809,0.01237,0.00794,999999.0
60400,0.02703,0.00015,0.03286,0.00018,0.02103,0.01482,0.00829,999999.0
60600,0.02146,0.00012,0.03237,0.00018,0.01692,0.01141,0.00665,999999.0
60800,0.02732,0.00015,0.03223,0.00018,0.02122,0.01544,0.0076,999999.0
61000,0.03491,0.00019,0.03326,0.00018,0.02659,0.01939,0.01166,999999.0
61200,0.02413,0.00013,0.03337,0.00018,0.01951,0.01238,0.00697,999999.0
61400,0.02336,0.00013,0.03295,0.00018,0.01803,0.01261,0.00783,999999.0
61600,0.01641,9e-05,0.03312,0.00018,0.01299,0.00873,0.00494,999999.0
61800,0.02356,0.00013,0.03226,0.00018,0.0185,0.01271,0.00714,999999.0
62000,0.02372,0.00013,0.03226,0.00018,0.01834,0.01283,0.00784,999999.0
62200,0.02755,0.00015,0.0338,0.00019,0.02119,0.01472,0.00965,999999.0
62400,0.01944,0.00011,0.03281,0.00018,0.0153,0.01022,0.00624,999999.0
